title,structure,focus,contact,basedIn,actingIn,OT:Tech for Good,OT:Funder,OT:Education,OT:Human Rights,OT:Research,OT:Other,DF:Access to Justice,DF:Citizenship,DF:Free Press / Exp,DF:Identity Provision,DF:Marg Rights,DF:Net Neutrality,DF:O Govt / Transp,DF:Participate / Vote ,DF:Privacy / Security,DF:Transparent £,DF:Broad / Other,DF:N/A,TF:AI,TF:App / DAPP / Web,TF:Block / Arch,TF:Crowd / Map,TF:Exp Use / Educate,TF:Open Source,TF:Tech Fund,TF:Telephony,TF:Online Learn,TF:Broad / Other,TF:N/A,about,activities,notes,url
Newspeak House,,Tech / Democracy,contact@newspeak.house,"London, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nwspk.com
OONI,Not For Profit,Tech / Democracy,contact@openobservatory.org,?,Global,TRUE,,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,"Open Observatory of Network Interference. A free software, global observation network for detecting censorship, surveillance and traffic manipulation on the internet",,,https://ooni.torproject.org/
Transparencee,Not For Profit,Tech / Democracy,contact@transparencee.org,,,TRUE,,,,,,,TRUE,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,"a community of non-profit, IT, and media organizations that use technology for better transparency, accountability, and governance in the Central and Eastern Europe region.",,,https://transparencee.org/
Turkey Blocks,,Tech / Democracy,contact@turkeyblocks.org,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://turkeyblocks.org/
Operação Serenata de Amor,,Tech / Democracy,contato@serenata.ai,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://serenata.ai/explore/
Ash Center Technology and Democracy,University,Tech / Democracy,daniel_harsha@hks.harvard.edu\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ash.harvard.edu/about
Ada Lovelace Institute,Charity,Tech / Democracy,dataethics@nuffieldfoundation.org,"London, UK",Global,TRUE,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,The Ada Lovelace Institute is an independent research and deliberative body with a mission to ensure data and AI work for people and society.,,,
38 Degrees,Not For Profit,Tech / Democracy,emailtheteam@38degrees.org.uk,"London, UK",UK,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,"Is your local hospital under threat? Know a beautiful place that needs protecting? Is there a company that should be challenged to change its ways, or something the government can do to make the UK a better place? With 38 Degrees, you can start a campaign on any issue that's close to your heart. It only takes a few minutes to get started.",,,https://you.38degrees.org.uk/petition/new?source=google-start-a-petition&gclid=EAIaIQobChMI7ozUi6Xq3gIVjed3Ch3gQAT2EAAYASAAEgLM_vD_BwE
Privaterra,,Tech / Democracy,http://www.privaterra.org/contact-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.privaterra.org/
Teen Tech,,Tech / Democracy,http://www.teentech.com/contact/,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.teentech.com/sponsors-and-partners/
Re:publica19,Not For Profit,Tech / Democracy,https://19.re-publica.com/en/contact,"Berlin, Germany",Global,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"re:publica GmbH’s re:publica Berlin is Europe’s largest internet and digital society conference. More than 19 500 participants from 80 countries came together to discuss current issues of digital society at the three-day festival re:publica 18. re:publica participants represent a cross-section of (digital) society, which include professionals from economics, politics, business, hacker culture, NGOs, media, and marketing, as well as bloggers, activists, artists, and social media experts. Roughly 50 percent of re:publica 18 speakers were women, ranking the event as one of the most inclusive of its kind.  ",,,https://19.re-publica.com/en
Advocacy Assembly ,Social Enterprise,Tech / Democracy,https://advocacyassembly.org/en/contact/,?,Global,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,TRUE,,,"Advocacy Assembly is a free digital learning website featuring courses for journalists, campaigners and activists. The website was launched in 2015 by Small Media, who maintain the platform and it’s security. The website was initially imagined as a space to provide training to learners who couldn’t attend in person workshops. Currently, it is used by students from over 50 different countries, providing people with an opportunity to increase their skills.",,,https://advocacyassembly.org/en/
vTaiwan,Not For Profit,Tech / Democracy,https://info.vtaiwan.tw/#six,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vTaiwan is an online-offline consultation process which brings together government ministries, elected representatives, scholars, experts, business leaders, civil society organizations and citizens. The process helps lawmakers implement decisions with a greater degree of legitimacy. It has various touch points such as a website (vtaiwan.tw), a combination of meetings and hackathons along with the consultation process. vTaiwan is also an open space, it is a combination of time and space run by participants to work on cases brought in.",,,https://info.vtaiwan.tw/#six
Paradigm Initiative,,Tech / Democracy,https://paradigmhq.org/contact/,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://paradigmhq.org/about/
Article 19 ,Not For Profit,Tech / Democracy,https://www.article19.org/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.article19.org/issue/digital-rights/
Pirate Party,,Tech / Democracy,https://www.pirateparty.org.uk/contact,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pirateparty.org.uk/
Privacy International,,Tech / Democracy,https://www.privacyinternational.org/contact,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.privacyinternational.org/
Small Media ,,Tech / Democracy,https://www.smallmedia.org.uk/about/contact,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.smallmedia.org.uk/about/contact
Programmers 4 Peace,Not For Profit,Tech / Democracy,http://programmers4peace.com/contactus.html,Global,Global,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Equip future generation with the tools and skills they need to create innovative solutions using technology. Empower youth to collaborate, break down social and economic barriers to peace","Host workshops, hackathos and events ",Grantee? Skills Share session leader,http://programmers4peace.com/
Technology and Democracy Cambridge Research Project,University,Tech / Democracy,http://www.techdem.crassh.cam.ac.uk/contact-mailing-list/,"Cambridge, UK",Global,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,,,,http://www.techdem.crassh.cam.ac.uk/
Civic Hall,Not For Profit,Tech / Democracy,https://civichall.org/contact-us/,"New York, USA",Global,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"CIVIC HALL  /  A NON-PROFIT COLLABORATIVE COMMUNITY CENTER THAT ADVANCES THE USE OF TECHNOLOGY FOR THE PUBLIC GOOD. Technology + Empathy = Civic Hall. Built on the idea that together – technologists, government officials, community organizers, researchers, makers, social entrepreneurs, change-makers, hackers, academics, journalists, artists– we can organize to solve civic problems to scale. We are a community of action-oriented, cross-sector professionals located in the heart of Manhattan, where we aim to better the world through civic tech.",,,https://civichall.org/
ELVA,Not For Profit,Tech / Democracy,https://elva.org/contact/,"Georgia, Tiblisi",Global,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,"Founded in 2013, we aim to provide products and services that bridge the gaps between citizens and decision makers worldwide.",,,https://elva.org/
Freedom Online Coalition ,Government,Tech / Democracy,https://freedomonlinecoalition.com/contact/,Global,Global,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"A partnership of 30 governments, working to advance Internet freedom. Coalition members work closely together to coordinate their diplomatic efforts and engage with civil society and the private sector to support Internet freedom – free expression, association, assembly, and privacy online – worldwide.",,,https://freedomonlinecoalition.com/about-us/about/
MyData,Not For Profit,Tech / Democracy,https://mydata.org/contact/,Finland,,TRUE,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,TRUE,FALSE,"We are entrepreneurs, activists, academics, listed corporations, public agencies, and developers. For years, we’ve been using different words for what we do – MyData, Self Data, VRM (Vendor Relationship Management), Internet of Me, PIMS (Personal Information Management Services) etc, while sharing a common goal: to empower individuals with their personal data, thus helping them and their communities develop knowledge, make informed decisions, and interact more consciously and efficiently with each other as well as with organisations.",,,https://mydata.org/finland/
Parlement et Citoyens,Not For Profit,Tech / Democracy,https://parlement-et-citoyens.fr/contact,France,France,TRUE,,,,,,,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,TRUE,,Parliament & Citizens is a non-partisan association that offers parliamentarians and citizens the opportunity to draft laws together. The office is composed of one member of each board of directors. ,,,https://parlement-et-citoyens.fr/
World Identity Network,Not For Profit,Tech / Democracy,https://win.systems/contact-us/,Global,Global,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,,,FALSE,,,TRUE,,FALSE,,,FALSE,,,FALSE,"Catalysing progress towards universal ID and robust, secure digital identification systems using 21st century technology.",Advocates the use of blockchain technology to create a universal system of ID targeting the 2 billion people worldwide who have no access to an identification system.,Grant partner? ,https://win.systems/
"Chatham House, Commission on Democracy and Technology in Europe",Not For Profit,Tech / Democracy,https://www.chathamhouse.org/email/node/35604/field_contact_email?nid=36768,"London, UK",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Chatham House is establishing a Commission on Democracy and Technology in Europe to examine the role of technology both as a driver and as a potential solution to the current crisis of liberal democracy. This commission will be open and inclusive, engaging a wide community of users to develop a deliberative online research process that can help change the way policy research is conducted. We hope to open up the ‘black box’ of traditional investigative commissions and widen the range of inputs into the research process. Thus, the process aims to be transparent and to allow users to input more directly into the research than is traditionally the case. We will do this by opening up the phase between the submission of evidence and the publication of the report, working with users to integrate the ideas that have emerged during the submission phase into building blocks for the report.",,,https://demtech.chathamhouse.org
Edelman,For-profit,Tech / Democracy,https://www.edelman.com/contact,Global,Global,,,,,,TRUE,,,,,,,,,,FALSE,TRUE,,,,,,,,,,,TRUE,,"A global communications marketing firm that partners with the world's leading businesses and organizations to evolve, promote and protect their brands and reputations. Our proven strategy is to engage audiences over time to earn their lasting trust — the strongest insurance against competitive disruption, the antidote to consumer indifference, and the best path to continued growth.",,,
Yoti,For-profit,Tech / Democracy,https://www.yoti.com/contact/,"London, UK",Global,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,
GenderIT,Not For Profit,Tech / Democracy,genderit@apcwomen.org,Global,Global,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,"GenderIT.org is a project of the Women's Rights Programme of the Association for Progressive Communications The site is meant to be a think tank OF and FOR women's rights, sexual rights and internet rights activists, academics, journalists and advocates. We carry articles, news, podcasts, videos, comics and blogs on internet policy and cultures from a feminist and intersectional perspective, privileging voices and expressions from Africa, Asia, Latin America, Arabic-speaking countries and parts of Eastern Europe. GenderIT.org provides a space for reflection, influence and advocacy on internet policy in relation to the rights and demands of women, trans and gender diverse people.",,,https://genderit.org/
ICANN,Not For Profit,Tech / Democracy,globalsupport@icann.org,"Los Angeles, USA",Global,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"ICANN is a not-for-profit public-benefit corporation with participants from all over the world dedicated to keeping the Internet secure, stable and interoperable. It promotes competition and develops policy on the Internet's unique identifiers. Through its coordination role of the Internet's naming system, it does have an important impact on the expansion and evolution of the Internet",,,https://www.icann.org/
Berkman Klein Center for Society and Internet at Harvard University,University,Tech / Democracy,hello@cyber.harvard.edu,"Cambridge, MA, USA",Global,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"An interdisciplinary research center with a global scope, our interests and activities range across a broad spectrum of topics related to how the Internet and technology affect our lives, our society, and our world.",,,https://cyber.harvard.edu/
Democracy Earth,Not For Profit,Tech / Democracy,hello@democracy.earth,Global,Global,TRUE,,,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,TRUE,,,,,,,TRUE,,"With the rise of open source software and peer to peer networks, political intermediation is no longer necessary. We are building Sovereign, an open source and decentralized democratic governance protocol for any kind of organization.",,,https://www.democracy.earth/
Democracy Club,Not For Profit,Tech / Democracy,hello@democracyclub.org.uk.,"London, UK",UK,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,"Democracy Club’s vision is of a society in which democracy thrives through knowledge, participation and openness. Our mission is to use open data, design and technology to give every citizen the information and participation opportunities they need, in a way that suits them. We are non-partisan and we work openly. We’re a community of 10,000 volunteers and a small core team. We don’t have a view of ‘the perfect democracy’. Instead, we try to make constant iterative improvements based on citizens’ needs. We judge those needs based on publicly available research, feedback on our websites and online search data.",,,https://democracyclub.org.uk
Demos,Not For Profit,Tech / Democracy,hello@demos.co.uk,"London, UK",UK,TRUE,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Demos is a champion of people, ideas, and democracy. We bring people together. We bridge divides. We listen and we understand. We are practical about the problems we face, but endlessly optimistic and ambitious about our capacity, together, to overcome them.",,,https://www.demos.co.uk/
MySociety,Charity,Tech / Democracy,hello@mysociety.org,"London, UK",Global,TRUE,,,,TRUE,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,TRUE,,"We provide technology, research and data that help people to be active citizens. mySociety is a not-for-profit social enterprise, based in the UK and working internationally. We build online technologies that give people the power to get things changed, and we share these technologies so that they can be used anywhere.",Alaveti https://alaveteli.org/community/,,https://www.mysociety.org/
The Engine Room,Charity,Tech / Democracy,hello@theengineroom.org,Global,Global,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,,FALSE,,,FALSE,TRUE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Helping activists, organisations and other social change agents to make the most of data and technology to increase their impact.","Carries out research and publishes, e.g. on effective use of technologies for human rights documentation. Advises on effective use of technology to increase impact. Supports development of active tech communities for good.","Case studies, research... Works worldwide.",https://www.theengineroom.org/projects/technology-tools-in-human-rights/
Citizens.is,Not For Profit,Tech / Democracy,https://citizens.is/contact-us/,Iceland,Europe,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,"The Citizens Foundation, a global nonprofit based in Iceland, provides affordable, creative, and secure open source solutions using the latest web technology for civic engagement. Easy to use, mobile adapted, multilingual solutions for citizens to engage their governments or other organisations are our speciality. Our tools are used daily to generate ideas and solutions for communities as well as to make binding or advisory budget choices on refined ideas during special periods.",,,
Demokratie.io,Not For Profit,Tech / Democracy,https://demokratie.io/kontakt/,Germany,Germany,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Demokratie.io is a funding competition and network for supporting digital democracy projects in Germany, funded by the Robert Bosch Foundation and Ministry for Family Affairs. Based partly on the highly successful Prototype Fund, Demokratie.io was implemented by betterplace lab and encouraged organisations using technology on innovative projects to strengthen democratic processes. The competition attracted 50 applicants of whom 5 winners were selected and granted €20,000. Alongside funding, the project aims to build a network and build capacity through events, workshops, blogs, Slack and social media. Projects are encouraged to document their “learning journey” on the project’s blog in order to engage in a communal reflection process.",,,
7amleh,Not For Profit,Tech / Democracy,info@7amleh.org,"Haifa, Israel",Israel / Palestine,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"7amleh is a non-profit organization aimed at enabling the Palestinian and Arab civil society to effectively utilize the tools of digital advocacy through professional capacity building, defending digital rights and building influential digital media campaigns.",,,https://7amleh.org/about-us/
Access Now ,Not For Profit,Tech / Democracy,info@accessnow.org,Global,Global,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,,,TRUE,TRUE,,TRUE,,,FALSE,,,FALSE,,TRUE,,,FALSE,,,FALSE,Defend and extend the digital rights of users at risk around the world ,"Direct Technical Support, Grantmaking, Convenings, Advocacy, Information, Campaigning on Business & Human Rights, Digital Security, Freedom of Expression, Privacy, Net Discrimination","Potential Partner - Keep it on, Heroes & Villains ",https://www.accessnow.org
Accountability Lab,Not For Profit,Tech / Democracy,info@accountabilitylab.org,"Washington, DC USA / Kathmandu, Nepal / Monrovia, Liberia / Bamako, Mali / Abuja, Nigeria",,TRUE,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,"Our vision is a world in which people with power are accountable. It is a world in which resources are used wisely, decisions benefit everyone fairly, and people lead secure lives. We are catalyzing a new generation of active citizens and responsible leaders around the world by supporting change-makers to develop and implement positive ideas for integrity in their communities. By enabling people to generate the knowledge, skills and networks needed for accountability, we unleash positive social and economic change. We have three mutually-reinforcing objectives: to support a positive movement to build accountability; provide substantive, flexible and long-term support for those leaders who can collectively lead this movement within specific contexts; and support collaboration around accountability and open governance.",,,http://www.accountabilitylab.org/
AI Now Institute,Not For Profit,Tech / Democracy,info@ainowinstitute.org,"USA, New York",Global,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,TRUE,,TRUE,FALSE,FALSE,,TRUE,,TRUE,FALSE,TRUE,,FALSE,,FALSE,,,FALSE,,,FALSE,"At New York University - interdisciplinary research center dedicated to understanding the social implications of artificial intelligence. Focus on four core domains: Rights and Liberties, Labour and Automation, Bias and Inclusion, Safety and Critical Infrastructure",,https://medium.com/doteveryone/intheloop-45f38de30632,https://ainowinstitute.org/
AlgorithmWatch,Not For Profit,Tech / Democracy,info@algorithmwatch.org,"Berlin, Germany",,TRUE,,TRUE,,TRUE,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,"AlgorithmWatch is a non-profit research and advocacy organisation to evaluate and shed light on algorithmic decision making processes that have a social relevance, meaning they are used either to predict or prescribe human action or to make decisions automatically. - They 'Watch, Explain, Network, and Engage'",,,https://algorithmwatch.org/en/
Association for Progressive Communications APC,Not For Profit,Tech / Democracy,info@apc.org,"Johannesburg, South Africa",Global,TRUE,,TRUE,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,"We help people get access to the internet where there is none or it is unaffordable, we help grassroots groups use the technology to develop their communities and further their rights, and we work to make sure that government policies related to information and communication serve the best interests of the general population, especially people living in the global South.",,,https://www.apc.org/en/about
Internet Archive,Not For Profit,Tech / Democracy,info@archive.org,Global,Global,FALSE,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,TRUE,"The Internet Archive, a 501(c)(3) non-profit, is building a digital library of Internet sites and other cultural artifacts in digital form. Like a paper library, we provide free access to researchers, historians, scholars, the print disabled, and the general public. Our mission is to provide Universal Access to All Knowledge.",,,http://archive.org/details/trumparchive&tab=collection?mod=article_inline
BanQu,For-profit,Tech / Democracy,info@BanQu.co,"Austin, USA",Global,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,,,FALSE,,,TRUE,,FALSE,,,FALSE,,,FALSE,Connecting refugees and the world's poorest to the global economy through giving them a portable digital identity.,"Uses blockchain technology to create secure and portable economic identity. Records economic transactions and gives access to records such as health, education and credit history.",US based. Founded 2012.,https://banqu.co/
Bits of Freedom,Not For Profit,Tech / Democracy,info@bitsoffreedom.nl,"Amsterdam, Netherlands",Global,,,TRUE,,TRUE,TRUE,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,Bits of Freedom comes on for two fundamental rights in your digital communication that are indispensable for your freedom: privacy and freedom of communication. ,,,https://www.bitsoffreedom.nl/
"Carnegie UK Trust, Digital Futures",Charity,Tech / Democracy,info@carnegieuk.org,"Dunfirmline, Scotland, UK",UK,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,Our Digital Futures theme explores how the rapid advances in digital technology can be exploited to optimise improvements in wellbeing for people across the UK and Ireland.,"Campaigns, research, partnering with other orgs to deliver projects",,https://www.carnegieuktrust.org.uk/theme/digital-futures/
Committee to Protect Journalists,Charity,Tech / Democracy,info@cpj.org,Global,Global,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,FALSE,TRUE,,"The Committee to Protect Journalists is an independent, nonprofit organization that promotes press freedom worldwide. We defend the right of journalists to report the news without fear of reprisal.",,,https://cpj.org/about/
DADI Foundation,Charity,Tech / Democracy,info@dadi.foundation,"Edinburgh, Scotland, UK",Global,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"We will harness technologies to empower the most marginalised, ensuring fair access to technology and supporting robust and inclusive democracies",,,https://dadi.foundation/
D-Cent,Not For Profit,Tech / Democracy,info@dcentproject.eu,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,TRUE,,"A Europe-wide project developing the next generation of open source, distributed, and privacy-aware tools for direct democracy and economic empowerment.",,,https://dcentproject.eu/
Delib,For-profit,Tech / Democracy,info@delib.net,"Bristol, UK / Brisbane, AU / Christchurch, NZ",Global,TRUE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,,,,,,,,We bring governments tools that make it easy to involve citizens in decision making. People working in government have suffered too long with digital tools that aren't good enough,,,https://www.delib.net/
